Name,Chamber,Party,Avg. Net Worth
Carol Shea-Porter (D-NH),H,D,16001
Jaime Herrera Beutler (R-Wash),H,R,8000
Hank Johnson (D-Ga),H,D,8000
Steve Stockman (R-Texas),H,R,8000
Jim Moran (D-Va),H,D,8000
Andre Carson (D-Ind),H,D,7502
Keith Ellison (D-Minn),H,D,6003
Corrine Brown (D-Fla),H,D,3501
Paul Tonko (D-NY),H,D,500
Duncan D. Hunter (R-Calif),H,R,0
Gwen Moore (D-Wis),H,D,0
Gregory W. Meeks (D-NY),H,D,0
Dan Maffei (D-NY),H,D,-7998
John Conyers Jr (D-Mich),H,D,-12500
Steve Scalise (R-La),H,R,-12998
Jerrold Nadler (D-NY),H,D,-16499
James Bridenstine (R-Okla),H,R,-22148
Mario Diaz-Balart (R-Fla),H,R,-24500
Tom McClintock (R-Calif),H,R,-30498
Mike Quigley (D-Ill),H,D,-32500
Kyrsten Sinema (D-Ariz),H,D,-32500
Tim Griffin (R-Ark),H,R,-32999
Ron DeSantis (R-Fla),H,R,-36499
Steve Israel (D-NY),H,D,-55000
Raul Labrador (R-Idaho),H,R,-56998
Kevin Yoder (R-Kan),H,R,-59498
Sean P. Duffy (R-Wis),H,R,-99999
Renee Ellmers (R-NC),H,R,-101498
Bobby Scott (D-Va),H,D,-129973
Louis B. Gohmert Jr (R-Texas),H,R,-162501
Rick Crawford (R-Ark),H,R,-175001
Steve Fincher (R-Tenn),H,R,-472502
Nydia M. Velazquez (D-NY),H,D,-510000
Ruben Hinojosa (D-Texas),H,D,-2303473
Alcee L. Hastings (D-Fla),H,D,-4732002
David Valadao (R-Calif),H,R,-12167002
